zpid,bucketType,rate,rateSource,lastUpdatedTimestamp,lastUpdatedDate,lmi_id,ls_id,lti_id
441978605,"Arm 5 Bucket",7.01,ZGMI,"2024-11-20 19:34:27",2024-11-20,1,7100,NULL
88279152,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 21:20:45",2024-11-20,2,11382,15966
88343937,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 23:05:51",2024-11-20,3,11078,15625
88753804,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 21:20:17",2024-11-20,4,7929,35256
442717584,"Arm 5 Bucket",6.732,ZGMI,"2024-11-20 22:25:31",2024-11-20,5,7835,NULL
46195487,"Arm 5 Bucket",7.088,ZGMI,"2024-11-20 17:12:12",2024-11-20,6,11183,10939
46265707,"Arm 5 Bucket",7.088,ZGMI,"2024-11-20 16:37:48",2024-11-20,7,7881,27850
19953439,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 22:03:10",2024-11-20,8,8055,11696
442724675,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 22:25:06",2024-11-20,9,7784,NULL
20614507,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 22:42:45",2024-11-20,10,6787,27772
345457692,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 21:48:00",2024-11-20,11,70,10573
34119484,"30 Year Fixed Bucket",6.346,ZGMI,"2024-11-29 06:07:07",2024-11-29,12,4979,51834
20502665,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 22:41:39",2024-11-20,13,8017,35006
34119484,"Arm 5 Bucket",6.727,ZGMI,"2024-11-29 06:07:07",2024-11-29,14,4979,51834
32084790,"Arm 5 Bucket",6.135,ZGMI,"2024-11-20 21:26:16",2024-11-20,15,11042,12837
20097218,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 22:43:48",2024-11-20,16,7091,43754
16869861,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 21:54:29",2024-11-20,17,6008,10031
34119484,"15 Year Fixed Bucket",5.764,ZGMI,"2024-11-29 06:07:07",2024-11-29,18,4979,51834
244708653,"Arm 5 Bucket",6.135,ZGMI,"2024-11-20 21:54:34",2024-11-20,19,10965,14828
14513801,"30 Year Fixed Bucket",6.396,ZGMI,"2024-11-29 09:02:19",2024-11-29,20,4969,51896
20515174,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 22:41:44",2024-11-20,21,11630,11203
442721659,"Arm 5 Bucket",6.135,ZGMI,"2024-11-20 22:27:11",2024-11-20,22,7845,NULL
16874017,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 22:28:28",2024-11-20,23,14890,10751
14513801,"15 Year Fixed Bucket",5.768,ZGMI,"2024-11-29 09:02:19",2024-11-29,24,4969,51896
19973633,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 22:37:54",2024-11-20,25,17403,4312
14513801,"Arm 5 Bucket",6.534,ZGMI,"2024-11-29 09:02:19",2024-11-29,26,4969,51896
2109982362,"Arm 5 Bucket",6.135,ZGMI,"2024-11-20 22:19:51",2024-11-20,27,6811,NULL
20094760,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 21:14:27",2024-11-20,28,10813,11310
244454750,"15 Year Fixed Bucket",5.5,ZGMI,"2024-11-29 09:01:57",2024-11-29,29,4975,51876
17080329,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 22:07:47",2024-11-20,30,48,6084
31540213,"Arm 5 Bucket",6.135,ZGMI,"2024-11-20 21:56:24",2024-11-20,31,11057,14685
244454750,"30 Year Fixed Bucket",6.166,ZGMI,"2024-11-29 09:01:57",2024-11-29,32,4975,51876
58546683,"Arm 5 Bucket",6.944,ZGMI,"2024-11-20 21:18:09",2024-11-20,33,7859,57290
2058240387,"Arm 5 Bucket",6.135,ZGMI,"2024-11-20 21:36:37",2024-11-20,34,8052,NULL
402291717,"15 Year Fixed Bucket",5.557,ZGMI,"2024-11-29 09:02:12",2024-11-29,35,4974,NULL
442724290,"Arm 5 Bucket",6.135,ZGMI,"2024-11-20 22:20:33",2024-11-20,36,8039,NULL
402291717,"Arm 5 Bucket",6.327,ZGMI,"2024-11-29 09:02:12",2024-11-29,37,4974,NULL
