zpid,zpidComp,addressComp,cityComp,stateComp,zipComp,priceComp,homeTypeComp,homeStatusComp,livingAreaValueComp,livingAreaUnitsComp,lotAreaValueComp,lotAreaUnitsComp,lastUpdated,lsi_id,lnh_id
71753253,71757614,"455 Glen Iris Dr NE #N",Atlanta,GA,30308,369900,Condo,Sold,1225,"Square Feet",1220,"Square Feet","2024-11-20 22:18:43",5605,1
82629652,82625972,"301 Darkwater Ct",Atlanta,GA,30331,447100,"Single Family",Other,4292,"Square Feet",1,Acres,"2024-11-20 23:54:06",16943,2
35877638,35877640,"737 Augusta Pl SE",Atlanta,GA,30315,561300,"Multi Family",Other,1304,"Square Feet",6499,"Square Feet","2024-11-20 23:54:06",5052,3
71753253,71755540,"455 Glen Iris Dr NE #W",Atlanta,GA,30308,375000,Condo,Sold,1225,"Square Feet",1224,"Square Feet","2024-11-20 23:54:06",5605,4
82629652,82622244,"390 Darkwater Ct",Atlanta,GA,30331,439900,"Single Family",Other,4232,"Square Feet",9583,"Square Feet","2024-11-20 22:18:43",16943,5
35877638,35877640,"737 Augusta Pl SE",Atlanta,GA,30315,561300,"Multi Family",Other,1304,"Square Feet",6499,"Square Feet","2024-11-20 22:18:43",5052,6
71753253,71755540,"455 Glen Iris Dr NE #W",Atlanta,GA,30308,375000,Condo,Sold,1225,"Square Feet",1224,"Square Feet","2024-11-20 22:18:43",5605,7
82629652,82622244,"390 Darkwater Ct",Atlanta,GA,30331,439900,"Single Family",Other,4232,"Square Feet",9583,"Square Feet","2024-11-20 23:54:06",16943,8
112432138,112432181,"1820 Peachtree St NW UNIT 1806",Atlanta,GA,30309,548500,Condo,Sold,1235,"Square Feet",0,"Square Feet","2024-11-20 22:18:43",8529,9
112432138,112432739,"1820 Peachtree St NW UNIT 808",Atlanta,GA,30309,717000,Condo,"Recently Sold",1709,"Square Feet",1708,"Square Feet","2024-11-20 22:18:43",8529,10
71753253,71752647,"455 Glen Iris Dr NE UNIT O",Atlanta,GA,30308,416700,Townhouse,Other,1225,"Square Feet",1224,"Square Feet","2024-11-20 22:18:43",5605,11
82629652,82619973,"400 Darkwater Ct",Atlanta,GA,30331,389200,"Single Family",Other,3330,"Square Feet",9147,"Square Feet","2024-11-20 22:18:43",16943,12
35846147,35846218,"217 Whitaker Cir NW",Atlanta,GA,30314,148400,"Single Family",Other,923,"Square Feet",10380,"Square Feet","2024-11-20 23:54:06",11785,13
112432138,112432181,"1820 Peachtree St NW UNIT 1806",Atlanta,GA,30309,548500,Condo,Sold,1235,"Square Feet",0,"Square Feet","2024-11-20 23:54:06",8529,14
82629652,82619973,"400 Darkwater Ct",Atlanta,GA,30331,389200,"Single Family",Other,3330,"Square Feet",9147,"Square Feet","2024-11-20 23:54:06",16943,15
249112337,35830511,"812 Erin Ave SW",Atlanta,GA,30310,251600,"Single Family",Other,1064,"Square Feet",7548,"Square Feet","2024-11-20 22:18:43",12045,16
35877638,35877637,"724 Oakland Ave SE",Atlanta,GA,30315,553600,"Single Family",Other,1448,"Square Feet",5175,"Square Feet","2024-11-20 23:54:06",5052,17
82629652,82617483,"330 Darkwater Ct SW",Atlanta,GA,30331,372400,"Single Family",Other,3330,"Square Feet",9731,"Square Feet","2024-11-20 22:18:43",16943,18
35877638,35877637,"724 Oakland Ave SE",Atlanta,GA,30315,553600,"Single Family",Other,1448,"Square Feet",5175,"Square Feet","2024-11-20 22:18:43",5052,19
348934176,2053637303,"203 Color Cir SE #35",Atlanta,GA,30317,452172,Townhouse,Sold,0,"Square Feet",0,"Square Feet","2024-11-20 23:54:06",5148,20
82629652,82617483,"330 Darkwater Ct SW",Atlanta,GA,30331,372400,"Single Family",Other,3330,"Square Feet",9731,"Square Feet","2024-11-20 23:54:06",16943,21
249112337,35830510,"816 Erin Ave SW",Atlanta,GA,30310,236100,"Single Family",Other,1045,"Square Feet",7601,"Square Feet","2024-11-20 22:18:43",12045,22
71753253,71752647,"455 Glen Iris Dr NE UNIT O",Atlanta,GA,30308,416700,Townhouse,Other,1225,"Square Feet",1224,"Square Feet","2024-11-20 23:54:06",5605,23
35877638,35877639,"730 Oakland Ave SE",Atlanta,GA,30315,634600,"Single Family",Other,1770,"Square Feet",5183,"Square Feet","2024-11-20 23:54:06",5052,24
71753253,71753741,"455 Glen Iris Dr NE UNIT P",Atlanta,GA,30308,378600,Apartment,Other,1225,"Square Feet",1224,"Square Feet","2024-11-20 23:54:06",5605,25
35890187,35890189,"690 Ira St SW",Atlanta,GA,30310,289000,"Single Family",Other,1304,"Square Feet",4347,"Square Feet","2024-11-20 22:18:43",5145,26
82629652,82611506,"340 Darkwater Ct SW",Atlanta,GA,30331,415000,"Single Family",Other,4232,"Square Feet",9104,"Square Feet","2024-11-20 23:54:06",16943,27
35877638,35877639,"730 Oakland Ave SE",Atlanta,GA,30315,634600,"Single Family",Other,1770,"Square Feet",5183,"Square Feet","2024-11-20 22:18:43",5052,28
71753253,71753741,"455 Glen Iris Dr NE UNIT P",Atlanta,GA,30308,378600,Apartment,Other,1225,"Square Feet",1224,"Square Feet","2024-11-20 22:18:43",5605,29
82629652,82611506,"340 Darkwater Ct SW",Atlanta,GA,30331,415000,"Single Family",Other,4232,"Square Feet",9104,"Square Feet","2024-11-20 22:18:43",16943,30
35890187,35890189,"690 Ira St SW",Atlanta,GA,30310,289000,"Single Family",Other,1304,"Square Feet",4347,"Square Feet","2024-11-20 23:54:06",5145,31
35877638,35877641,"734 Oakland Ave SE",Atlanta,GA,30315,419100,"Single Family",Other,1613,"Square Feet",2888,"Square Feet","2024-11-20 22:18:43",5052,32
82629652,82619019,"371 Darkwater Ct SW",Atlanta,GA,30331,347000,"Single Family","Recently Sold",4290,"Square Feet",10711,"Square Feet","2024-11-20 22:18:43",16943,33
35920166,35920202,"1758 Ridge Valley Ct NW",Atlanta,GA,30327,1112700,"Single Family",Other,3366,"Square Feet",1,Acres,"2024-11-20 22:18:43",8626,34
35890187,35890188,"692 Ira St SW",Atlanta,GA,30310,480000,"Single Family",Sold,2642,"Square Feet",5227,"Square Feet","2024-11-20 22:18:43",5145,35
35877638,35877641,"734 Oakland Ave SE",Atlanta,GA,30315,419100,"Single Family",Other,1613,"Square Feet",2888,"Square Feet","2024-11-20 23:54:06",5052,36
82629652,82619019,"371 Darkwater Ct SW",Atlanta,GA,30331,347000,"Single Family","Recently Sold",4290,"Square Feet",10711,"Square Feet","2024-11-20 23:54:06",16943,37
