zpid,event,price,pricePerSquareFoot,priceChangeRate,dateOfEvent,source,postingIsRental,lastUpdated,lph_id,pl_id,lti_id
35936049,Sold,381000,76,2.63,1990-01-01,,0,"2024-11-25 05:33:30",1,1119,75678
120771645,Sold,NULL,NULL,0,2018-03-14,,0,"2024-11-21 00:25:47",2,10281,693
58679302,Sold,NULL,NULL,0,2022-08-26,,0,"2024-11-20 23:54:06",3,12209,5387
36546652,Sold,186000,124,1.42,2007-02-02,,0,"2024-11-20 23:54:06",4,3251,10836
442154379,Sold,910000,NULL,0,2024-11-20,,0,"2024-11-21 00:25:47",5,NULL,NULL
70330800,Sold,NULL,NULL,0,2020-12-09,,0,"2024-11-20 23:54:06",6,NULL,13024
3715674,Sold,149000,152,0,2011-01-27,,0,"2024-11-20 23:54:06",7,NULL,11423
65053840,Sold,134000,104,0.01,2012-07-03,,0,"2024-11-25 05:33:30",8,13395,3928
65068215,Sold,NULL,NULL,0,2024-11-20,,0,"2024-11-21 00:25:47",9,10278,2695
69328086,Sold,165000,104,-0.03,2015-06-09,,0,"2024-11-25 05:33:30",10,991,NULL
244868025,Sold,422500,NULL,0.03,2024-11-20,,0,"2024-11-21 00:25:47",11,12513,2725
35892642,Sold,200000,120,0,2020-10-30,,0,"2024-11-25 05:33:30",12,1198,4840
11515303,Sold,97000,NULL,0,1994-04-05,,0,"2024-11-20 23:54:06",13,8920,11239
26116586,Sold,NULL,NULL,0,2024-11-20,,0,"2024-11-21 00:25:47",14,10276,3670
20450399,Sold,5000,1,-1,2016-11-30,,0,"2024-11-25 05:33:30",15,NULL,1085
120771645,Sold,NULL,NULL,0,2018-03-14,,0,"2024-11-21 00:21:31",16,10281,693
14746998,Sold,300000,138,1.45,2001-07-27,,0,"2024-11-25 05:33:30",17,1772,2229
28036383,Sold,NULL,NULL,0,2015-09-04,,0,"2024-11-20 23:54:06",18,9607,11742
36615852,Sold,319900,160,0,2020-06-23,,0,"2024-11-20 23:54:06",19,11728,39702
28267575,Sold,NULL,NULL,0,2010-05-10,,0,"2024-11-20 23:54:06",20,9597,13277
4007917,Sold,179000,210,0,2004-11-19,,0,"2024-11-25 05:33:30",21,2059,8552
244595959,Sold,144000,240,0,2014-06-30,,0,"2024-11-20 23:54:06",22,8859,18489
45063621,Sold,366200,226,0,2003-09-01,,0,"2024-11-25 05:33:30",23,13203,7305
