zpid,schoolName,schoolRating,type,gradeLevel,grades,distanceFromListing,link,lastUpdated,lsi_id,lnh_id
28351202,"Caraway Intermediate School",NULL,Public,Elementary,NULL,1.1,https://www.greatschools.org/texas/houston/213-Caraway-Intermediate-School/,"2024-11-27 06:13:47",1,NULL
17151093,"Vip Village Preschool",NULL,Public,Elementary,NULL,0.8,https://www.greatschools.org/california/imperial-beach/31079-Vip-Village-Preschool/,"2024-11-22 11:25:39",2,NULL
20958651,"Maxine Waters Employment Prep Center",NULL,Public,Elementary,NULL,0.6,https://www.greatschools.org/california/los-angeles/14291-Maxine-Waters-Employment-Prep-Center/,"2024-11-20 23:54:07",3,NULL
89644559,"Cobb 6th Grade Campus",5,Public,Elementary,6,0.5,https://www.greatschools.org/texas/houston/9422-Cobb-6th-Grade-Campus/,"2024-11-28 06:03:26",4,NULL
73454910,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,10.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:36:42",5,NULL
73563636,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:36:42",6,NULL
73555820,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,2.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:36:42",7,NULL
73650815,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,7.9,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:36:42",8,NULL
73569861,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,7.5,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:36:42",9,NULL
114029011,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:36:42",10,NULL
2065148334,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:36:42",11,NULL
114029011,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:38:32",12,NULL
2065148334,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:38:32",13,NULL
73569861,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,7.5,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:38:32",14,NULL
73454910,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,10.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:38:32",15,NULL
73563636,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:38:32",16,NULL
73555820,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,2.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:38:32",17,NULL
73650815,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,7.9,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:38:32",18,NULL
73569861,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,7.5,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:39:45",19,NULL
73650815,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,7.9,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:39:45",20,NULL
73563636,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:39:45",21,NULL
73454910,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,10.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:39:45",22,NULL
114029011,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:39:45",23,NULL
2065148334,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:39:45",24,NULL
73555820,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,2.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:39:45",25,NULL
73546515,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 09:30:22",26,NULL
73573807,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,2.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 09:30:22",27,NULL
114028776,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-20 23:54:07",28,10235
73577611,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,2.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-20 23:54:07",29,NULL
73563542,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-20 23:54:07",30,NULL
284889931,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-20 23:54:07",31,NULL
443023156,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.9,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-29 05:32:39",32,NULL
114038299,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,2.4,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-28 06:03:26",33,NULL
73580059,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,9.7,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-28 06:03:26",34,NULL
73586188,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,8.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-28 06:03:26",35,NULL
73599683,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-27 06:13:47",36,NULL
95195421,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,0.7,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-27 06:13:47",37,NULL
73577319,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,1.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-27 09:23:19",38,NULL
2060431024,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,1.4,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-21 11:09:29",39,10600
114029084,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-21 11:09:29",40,10554
114028776,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-21 11:09:29",41,10235
73650917,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,0.4,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-21 11:09:29",42,10223
73589952,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,1.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",43,NULL
73579513,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,9.8,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",44,NULL
114029084,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",45,10554
73651119,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,1.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",46,NULL
95201947,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,0.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",47,NULL
73650917,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,0.4,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",48,10223
73563648,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",49,NULL
73569861,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,7.5,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",50,NULL
114024148,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",51,NULL
73563636,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",52,NULL
73454272,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,10.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-22 11:25:39",53,NULL
73569861,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,7.5,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:35:29",54,NULL
73563636,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.3,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:35:29",55,NULL
114029011,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:35:29",56,NULL
2065148334,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,3.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:35:29",57,NULL
73555820,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,2.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:35:29",58,NULL
73650815,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,7.9,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:35:29",59,NULL
73454910,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,10.2,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-23 06:35:29",60,NULL
73571887,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,0.4,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-26 09:21:12",61,NULL
73653821,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,2.9,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-26 09:21:12",62,NULL
114023095,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,4.6,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-26 06:02:41",63,NULL
2081634780,"World Journalism Preparatory: A College Board School",8,Public,Middle,6-12,0.2,https://www.greatschools.org/new-york/queens/8818-World-Journalism-Preparatory-A-College-Board-School/,"2024-11-26 06:02:41",64,NULL
73578543,"Robert Frost Sixth-Grade Academy",NULL,Public,Elementary,6,1.1,https://www.greatschools.org/kentucky/louisville/746-Frost-Middle-School/,"2024-11-26 06:02:41",65,NULL
14267122,"Marietta 6th Grade School",6,Public,Elementary,6,3,https://www.greatschools.org/georgia/marietta/2828-Marietta-6th-Grade-School/,"2024-11-29 05:32:39",66,NULL
14267122,"Marietta 6th Grade School",6,Public,Elementary,6,3,https://www.greatschools.org/georgia/marietta/2828-Marietta-6th-Grade-School/,"2024-11-28 06:03:26",67,NULL
1084996,"Joyce Kilmer School 69",NULL,Public,Elementary,6,0.6,https://www.greatschools.org/indiana/indianapolis/4720-Joyce-Kilmer-School-69/,"2024-11-28 06:03:26",68,NULL
1116292,"Joyce Kilmer School 69",NULL,Public,Elementary,6,0.4,https://www.greatschools.org/indiana/indianapolis/4720-Joyce-Kilmer-School-69/,"2024-11-28 06:03:26",69,NULL
