zpid,lastUpdatedTimestamp,lastUpdatedDate,valueIncreaseRate,taxIncreaseRate,taxPaid,propertyValue,lti_id,lmi_id,lph_id
60953167,"2014-11-25 05:30:29",2014-11-25,0,0,1528.04,61008,1,NULL,NULL
10537731,"2018-11-21 00:15:04",2018-11-21,0,0,1822.54,NULL,2,11236,83559
10537731,"2016-11-21 00:15:04",2016-11-21,0,0,1398.4,NULL,3,11236,83559
60953167,"2015-11-25 05:30:29",2015-11-25,0,0,1809.29,64344,4,NULL,NULL
10537731,"2014-11-21 00:15:04",2014-11-21,7,0,1398.4,138300,5,11236,83559
60953167,"2023-11-25 05:30:29",2023-11-25,0,0,478.2,136896,6,NULL,NULL
10537731,"2022-11-21 00:15:04",2022-11-21,0,0,1745.55,NULL,7,11236,83559
60953167,"2013-11-25 05:30:29",2013-11-25,0,0,1530.98,61008,8,NULL,NULL
10537731,"2017-11-21 00:15:04",2017-11-21,0,0,1262.62,NULL,9,11236,83559
60953167,"2005-11-25 05:30:29",2005-11-25,0,0,1129.59,51840,10,NULL,NULL
10537731,"2021-11-21 00:15:04",2021-11-21,0,0,1745.55,NULL,11,11236,83559
60953167,"2012-11-25 05:30:29",2012-11-25,0,0,1548.06,61540,12,NULL,NULL
10537731,"2023-11-21 00:15:04",2023-11-21,0,0,2480.45,177200,13,11236,83559
60953167,"2001-11-25 05:30:29",2001-11-25,0,0,867.23,NULL,14,NULL,NULL
60953167,"2002-11-25 05:30:29",2002-11-25,0,0,1151.27,NULL,15,NULL,NULL
15109199,"2014-11-25 01:35:36",2014-11-25,0,0,724.38,61960,16,NULL,28
15109199,"2021-11-25 01:35:36",2021-11-25,0,0,857.88,70164,17,NULL,28
15109199,"2024-11-25 01:35:36",2024-11-25,0,0,901.16,74455,18,NULL,28
15109199,"2019-11-25 01:35:36",2019-11-25,0,0,831.84,68084,19,NULL,28
15109199,"2015-11-25 01:35:36",2015-11-25,0,0,743.58,63197,20,NULL,28
15109199,"2022-11-25 01:35:36",2022-11-25,0,0,872.68,71566,21,NULL,28
15109199,"2017-11-25 01:35:36",2017-11-25,0,0,796.1,65442,22,NULL,28
15109199,"2018-11-25 01:35:36",2018-11-25,0,0,805.88,66750,23,NULL,28
10537731,"2024-11-21 00:15:04",2024-11-21,0,0,2480.45,177200,24,11236,83559
15109199,"2020-11-25 01:35:36",2020-11-25,0,0,859.34,69445,25,NULL,28
10537731,"2012-11-21 00:15:04",2012-11-21,0,0,1451.22,16768,26,11236,83559
15109199,"2016-11-25 01:35:36",2016-11-25,0,0,753.02,64160,27,NULL,28
10537731,"2015-11-21 00:15:04",2015-11-21,0,0,1398.4,NULL,28,11236,83559
15109199,"2023-11-25 01:35:36",2023-11-25,0,0,888.2,72996,29,NULL,28
6294534,"2016-11-21 00:15:51",2016-11-21,0,0,3144.53,238800,30,10268,NULL
65473104,"2007-11-25 05:28:24",2007-11-25,0,0,4132.06,162520,31,NULL,59972
6294534,"2014-11-21 00:15:51",2014-11-21,0,0,3129.15,NULL,32,10268,NULL
65473104,"2021-11-25 05:28:24",2021-11-25,0,0,4246.62,191160,33,NULL,59972
6294534,"2015-11-21 00:15:51",2015-11-21,0,0,3144.53,238800,34,10268,NULL
