zpid,price,homeStatus,homeType,datePosted,streetAddress,city,state,zipcode,county,yearBuilt,livingArea,livingAreaUnits,rentZestimate,bathrooms,bedrooms,pageViewCount,favoriteCount,propertyTaxRate,timeOnZillow,dateSold,url,lastUpdated,pl_id,lsi_id,lph_id,ls_id
32107262,750000,"Recently Sold","Multi Family",2024-03-19,"7417 87th Rd",Jamaica,NY,11421,"Queens County",NULL,NULL,NULL,2930,2,NULL,20,0,0.86,9,2024-11-24,https://www.zillow.com/homedetails/7417-87th-Rd-Jamaica-NY-11421/32107262_zpid/,"2024-11-25 09:04:11",1,31084,54385,18286
67081276,580000,"Recently Sold",Townhouse,2024-10-30,"2855-2859 Washington St #8",Roxbury,MA,2119,"Suffolk County",1930,1562,sqft,4228,3,3,76,2,0.66,9,2024-11-22,https://www.zillow.com/homedetails/2855-2859-Washington-St-8-Roxbury-MA-02119/67081276_zpid/,"2024-11-23 09:30:22",2,1231,2820,2345
30395052,265000,"Recently Sold","Single Family",2024-09-30,"20 Kenview Ave",Buffalo,NY,14217,"Erie County",1952,1272,sqft,2023,2,3,68,0,1.91,9,2024-11-22,https://www.zillow.com/homedetails/20-Kenview-Ave-Buffalo-NY-14217/30395052_zpid/,"2024-11-23 09:30:22",3,1604,78067,2604
20503342,3995,"Recently Sold",Apartment,2024-09-24,"1300 Midvale Ave APT 510","Los Angeles",CA,90024,"Los Angeles County",1968,1156,sqft,3867,2,2,187,5,1.16,9,2024-11-24,https://www.zillow.com/homedetails/1300-Midvale-Ave-APT-510-Los-Angeles-CA-90024/20503342_zpid/,"2024-11-25 09:04:11",4,47100,61,18282
30340236,232000,"Recently Sold","Single Family",2024-09-06,"3705 Marlowe Ave",Buffalo,NY,14219,"Erie County",1955,1330,sqft,2036,2,4,70,1,1.91,9,2024-11-22,https://www.zillow.com/homedetails/3705-Marlowe-Ave-Buffalo-NY-14219/30340236_zpid/,"2024-11-23 09:30:22",5,17737,78061,1830
59102345,300000,"Recently Sold",Condo,2024-10-26,"36 Mount Ida Rd #3",Dorchester,MA,2122,"Suffolk County",1905,1320,sqft,3007,1,3,228,5,0.66,9,2024-11-22,https://www.zillow.com/homedetails/36-Mount-Ida-Rd-3-Dorchester-MA-02122/59102345_zpid/,"2024-11-23 09:30:22",6,27678,16622,2567
20183958,820000,"Recently Sold","Single Family",2024-10-27,"8300 Capps Ave",Northridge,CA,91324,"Los Angeles County",1957,1678,sqft,4540,2,3,21,0,1.16,9,2024-11-24,https://www.zillow.com/homedetails/8300-Capps-Ave-Northridge-CA-91324/20183958_zpid/,"2024-11-25 09:04:11",7,36243,21914,18288
30395091,235000,"Recently Sold","Single Family",2024-09-03,"83 Clark St",Buffalo,NY,14223,"Erie County",1951,1685,sqft,2625,3,3,100,0,1.91,9,2024-11-22,https://www.zillow.com/homedetails/83-Clark-St-Buffalo-NY-14223/30395091_zpid/,"2024-11-23 09:30:22",8,1605,2487,1867
247150620,730000,"Recently Sold",Condo,2024-11-06,"101 Cottage St #2","East Boston",MA,2128,"Suffolk County",1900,1118,sqft,3652,2,2,32,2,0.66,9,2024-11-22,https://www.zillow.com/homedetails/101-Cottage-St-2-East-Boston-MA-02128/247150620_zpid/,"2024-11-23 09:30:22",9,1102,2763,2461
32332472,550000,"Recently Sold","Single Family",2024-07-09,"433 Hamden Ave","Staten Island",NY,10306,"Richmond County",1925,1200,sqft,2668,1,2,96,0,0.89,9,2024-11-24,https://www.zillow.com/homedetails/433-Hamden-Ave-Staten-Island-NY-10306/32332472_zpid/,"2024-11-25 09:04:11",10,31205,51875,18284
